Transaction_date;Product;Price;Payment_Type;Name;City;State;Country;Account_Created;Last_Login;Latitude;Longitude
01/07/2009 20:15;Product1;1200;Amex;Nicole;Houston                     ;TX;United States;01/07/2009 17:17;01/09/2009 20:02;2.976.306;-9.536.306
01/03/2009 10:11;Product2;3600;Visa;Christiane ;Delray Beach                ;FL;United States;01/03/2009 09:27;01/10/2009 09:46;2.646.111;-8.007.306
01/09/2009 15:58;Product1;1200;Mastercard;Sari;Newbury;England;United Kingdom;01/09/2009 14:53;01/10/2009 13:16;51.4;-13.166.667
01/03/2009 13:11;Product1;1200;Mastercard;simone;Kobenhavn;Kobenhavn;Denmark;10/31/08 0:31;01/10/2009 13:24;556.666.667;125.833.333
01/10/2009 12:57;Product1;1200;Amex;Vanessa;Sandy Springs               ;GA;United States;02/07/2007 20:16;01/10/2009 14:09;3.392.417;-8.437.861
01/10/2009 14:43;Product1;1200;Diners;Anupam;Kinsaley;Dublin;Ireland;01/09/2009 11:38;01/10/2009 14:37;534.247.222;-61.758.333
01/10/2009 12:05;Product1;1200;Visa;Karina;Fort Lauderdale             ;FL;United States;07/01/2008 12:53;01/10/2009 16:33;2.612.194;-8.014.361
01/06/2009 01:20;Product1;1200;Mastercard;Frank;Melbourne;Victoria;Australia;01/02/2009 17:51;01/10/2009 18:27;-378.166.667;1.449.666.667
01/10/2009 14:56;Product1;1200;Visa;Angela;Ankeny                      ;IA;United States;01/08/2009 03:06;01/10/2009 19:41;4.172.972;-9.360.556
01/07/2009 10:01;Product1;1200;Visa;Darren;Pittsboro                   ;NC;United States;01/07/2009 09:04;01/10/2009 20:02;35.72;-791.775
01/01/2009 01:26;Product1;1200;Mastercard;Nikki;New Rochelle                ;NY;United States;01/01/2009 00:58;01/10/2009 21:31;4.091.139;-7.378.278
01/11/2009 02:04;Product1;1200;Visa;chris;Gold Coast;Queensland;Australia;01/11/2009 00:33;01/11/2009 02:11;-28;1.534.333.333
01/11/2009 14:17;Product1;1200;Visa;Stephanie;Brussels;Brussels (Bruxelles);Belgium;01/11/2009 13:39;01/11/2009 13:39;508.333.333;43.333.333
01/10/2009 21:38;Product1;1200;Visa;Anushka;Maple Ridge District Municipality;British Columbia;Canada;01/10/2009 21:17;01/11/2009 19:32;49.25;#FIELD!
01/07/2009 06:18;Product1;1200;Mastercard;June ;Beachwood                   ;OH;United States;2/23/06 11:56;01/11/2009 19:35;4.146.444;-8.150.889
01/04/2009 08:39;Product2;3600;Diners;Baybars;Prince Albert;Saskatchewan;Canada;01/03/2009 17:17;01/11/2009 21:05;53.2;#FIELD!
01/05/2009 00:31;Product1;1200;Mastercard;Bonnie;Saltsjobaden;Stockholm;Sweden;01/04/2009 23:45;01/12/2009 00:37;592.833.333;18.3
01/02/2009 06:07;Product1;1200;Visa;Cindy ;Kemble;England;United Kingdom;12/30/08 10:21;01/12/2009 02:24;516.766.667;-20.180.556
01/12/2009 03:25;Product1;1200;Mastercard;chrissy;W Lebanon                   ;NH;United States;01/12/2009 03:12;01/12/2009 03:22;4.364.917;-7.231.083
01/04/2009 13:56;Product1;1200;Mastercard;Tamar;Headley;England;United Kingdom;11/29/07 9:23;01/12/2009 05:38;511.166.667;#FIELD!
01/07/2009 00:12;Product2;3600;Mastercard;Deirdre;Lausanne;Vaud;Switzerland;12/01/2008 06:25;01/12/2009 06:55;465.333.333;66.666.667
01/12/2009 05:18;Product1;1200;Mastercard;Bernadett;Southampton;England;United Kingdom;01/12/2009 04:45;01/12/2009 08:08;50.9;#FIELD!
01/08/2009 15:16;Product1;1200;Visa;Dottie;Woodsboro                   ;MD;United States;01/08/2009 14:56;01/12/2009 09:29;3.953.306;-77.315
01/11/2009 11:33;Product1;1200;Visa;Stefan;Stavanger;Rogaland;Norway;01/11/2009 09:02;01/12/2009 10:37;589.666.667;5.75
01/07/2009 20:22;Product1;1200;Visa;Gina;Red Deer;Alberta;Canada;11/23/08 19:30;01/12/2009 12:24;522.666.667;#FIELD!
01/02/2009 22:00;Product1;1200;Diners;Lynne;Memphis                     ;TN;United States;01/02/2009 21:04;01/12/2009 13:18;3.514.944;-9.004.889
01/05/2009 13:52;Product1;1200;Mastercard;Tammy;Morges;Vaud;Switzerland;01/05/2009 05:55;01/12/2009 14:04;465.166.667;6.5
01/08/2009 20:32;Product1;1200;Visa;Kim;Calgary;Alberta;Canada;01/08/2009 20:21;01/12/2009 14:07;510.833.333;-1.140.833.333
01/08/2009 13:34;Product1;1200;Visa;Bruce;Belleville;Ontario;Canada;01/06/2009 14:38;01/12/2009 18:31;441.666.667;-773.833.333
01/11/2009 13:08;Product1;1200;Visa;Rosa Maria;Cincinnati                  ;OH;United States;01/11/2009 12:38;01/12/2009 18:44;3.916.194;-8.445.694
01/12/2009 19:04;Product1;1200;Visa;Lydia;Comox;British Columbia;Canada;9/20/08 20:53;01/12/2009 19:01;496.833.333;-1.249.333.333
01/12/2009 13:41;Product1;1200;Visa;Eric;Gasperich;Luxembourg;Luxembourg;01/12/2009 13:16;1/13/09 1:03;495.855.556;61.230.556
01/11/2009 10:38;Product1;1200;Mastercard;AnaPaula;Helens Bay;Northern Ireland;United Kingdom;09/04/2008 09:26;1/13/09 2:36;54.65;-57.333.333
1/13/09 5:57;Product1;1200;Visa;Robin;Milan;Lombardy;Italy;10/15/08 5:31;1/13/09 5:55;454.666.667;9.2
1/13/09 6:13;Product1;1200;Visa;Gitte;Staten Island               ;NY;United States;1/13/09 5:17;1/13/09 7:33;4.063.667;-7.415.917
01/08/2009 13:14;Product1;1200;Visa;Dr. Claudia;Oslo;Oslo;Norway;01/08/2009 12:47;1/13/09 10:49;599.166.667;10.75
01/02/2009 11:41;Product1;1200;Visa;Crystal;Farmington;Michigan;United States;01/01/2009 12:00;1/13/09 18:34;4.246.444;-8.337.639
01/07/2009 19:50;Product1;1200;Diners;Delphine;Santa Monica                ;CA;United States;01/03/2009 12:04;1/13/09 20:17;3.401.944;-11.849.028
01/01/2009 20:28;Product1;1200;Visa;nathalie;Calgary;Alberta;Canada;01/01/2009 20:11;1/13/09 21:11;510.833.333;-1.140.833.333
01/03/2009 15:22;Product1;1200;Mastercard;Lindi;Vancouver;British Columbia;Canada;2/20/08 22:45;1/13/09 23:02;49.25;-1.231.333.333
01/12/2009 03:03;Product2;3600;Mastercard;Valda;Irvine                      ;CA;United States;01/12/2009 02:48;1/14/09 1:07;3.366.944;-11.782.222
01/05/2009 08:58;Product2;3600;Mastercard;Marcia;Telgte;Nordrhein-Westfalen;Germany;09/01/2008 03:39;1/14/09 2:07;523.333.333;7.9
01/10/2009 14:03;Product1;1200;Mastercard;Kevin;Cheltenham;England;United Kingdom;3/13/06 4:56;1/14/09 2:22;51.9;-20.833.333
1/13/09 11:26;Product1;1200;Visa;Clare;Keller                      ;VA;United States;1/13/09 11:15;1/14/09 2:39;3.761.917;-7.576.417
01/02/2009 12:18;Product1;1200;Visa;Alice;Nakskov;Storstrom;Denmark;12/05/2007 11:37;1/14/09 4:05;548.333.333;11.15
1/14/09 4:54;Product1;1200;Mastercard;ZENA;Honolulu                    ;HI;United States;1/14/09 4:34;1/14/09 4:43;2.130.694;-15.785.833
01/06/2009 17:15;Product1;1200;Visa;Andrea;Bubuieci;Chisinau;Moldova;12/24/08 17:31;1/14/09 10:27;46.985;289.425
01/03/2009 13:56;Product1;1200;Visa;Rennae;Amelia Island               ;FL;United States;01/03/2009 12:30;1/14/09 13:03;3.066.944;-8.146.278
01/04/2009 07:54;Product1;1200;Visa;Gerhard;Alliston;Ontario;Canada;10/21/05 21:49;1/14/09 13:06;44.15;-798.666.667
01/12/2009 07:28;Product1;1200;Amex;Megan;La Alberca;Murcia;Spain;12/10/2008 16:41;1/14/09 13:44;379.333.333;-11.333.333
01/06/2009 15:15;Product1;1200;Mastercard;Danielle;Rathgar;Dublin;Ireland;01/06/2009 14:59;1/14/09 14:33;533.122.222;-62.683.333
1/13/09 23:56;Product1;1200;Mastercard;Tod;Coral Gables                ;FL;United States;1/13/09 23:13;1/14/09 15:17;2.572.111;-8.026.861
1/14/09 19:32;Product1;1200;Visa;Janaina;Miami                       ;FL;United States;12/16/08 22:19;1/14/09 19:28;2.577.389;-8.019.389
01/06/2009 21:13;Product1;1200;Visa;Kofi;Vancouver;British Columbia;Canada;01/07/2008 21:16;1/14/09 20:50;49.25;-1.231.333.333
1/14/09 11:19;Product1;1200;Visa;Jennifer;Jumeira;Dubayy;United Arab Emirates;1/14/09 10:44;1/14/09 21:26;252.097.222;552.477.778
1/13/09 19:39;Product1;1200;Visa;Jolene ;Englewood                   ;CO;United States;01/06/2009 22:00;1/14/09 22:02;3.964.778;-10.498.722
01/08/2009 07:26;Product1;1200;Mastercard;anne;Bournemouth;England;United Kingdom;1/25/08 15:46;1/15/09 1:36;507.166.667;-18.833.333
1/15/09 2:40;Product1;1200;Mastercard;Alexis;Genoa                       ;IL;United States;1/15/09 2:04;1/15/09 2:04;4.209.722;-8.869.278
01/12/2009 06:40;Product1;1200;Visa;Dez;Al 'Adliyah;Al Manamah;Bahrain;01/10/2009 12:50;1/15/09 4:46;262.172.222;505.405.556
1/15/09 3:43;Product1;1200;Visa;Stephanie;Rouen;Upper Normandy;France;12/26/08 9:01;1/15/09 5:39;494.333.333;10.833.333
01/05/2009 15:39;Product1;1200;Visa;Melissa ;Parkland                    ;FL;United States;12/10/2008 09:14;1/15/09 6:01;2.630.972;-802.375
01/10/2009 05:21;Product1;1200;Amex;CLARE;San Francisco               ;CA;United States;01/10/2009 00:07;1/15/09 6:25;37.775;-12.241.833
1/15/09 4:12;Product1;1200;Mastercard;catherine;Keller                      ;VA;United States;1/15/09 4:02;1/15/09 6:59;3.761.917;-7.576.417
01/12/2009 11:48;Product1;1200;Visa;Veronique ;Tsawwassen;British Columbia;Canada;7/24/08 15:48;1/15/09 8:56;490.166.667;-1.230.833.333
01/06/2009 10:48;Product1;1200;Mastercard;Bruce and Camille;Clinton                     ;NJ;United States;8/21/07 21:19;1/15/09 9:32;4.063.667;-7.491.028
1/14/09 9:10;Product1;1200;Mastercard;Ellen;Owensboro                   ;KY;United States;1/14/09 8:25;1/15/09 9:40;3.777.417;-8.711.333
1/14/09 22:44;Product1;1200;Visa;Amy;Lakewood Village            ;TX;United States;1/14/09 22:21;1/15/09 9:50;331.425;-9.696.917
01/06/2009 07:23;Product1;1200;Visa;Anna;Okotoks;Alberta;Canada;7/21/08 12:03;1/15/09 10:00;507.166.667;-1.139.666.667
01/01/2009 05:04;Product1;1200;Mastercard;Regina;Glimmen;Groningen;Netherlands;12/16/02 4:09;1/15/09 10:50;531.333.333;66.333.333
1/15/09 11:56;Product1;1200;Visa;Heidi;Calgary;Alberta;Canada;1/14/09 9:16;1/15/09 11:39;510.833.333;-1.140.833.333
1/15/09 11:58;Product1;1200;Visa;Jessica;Kanata;Ontario;Canada;1/14/09 5:59;1/15/09 11:49;453.333.333;#FIELD!
01/12/2009 09:43;Product1;1200;Diners;Petra;Bergen;Nordrhein-Westfalen;Germany;01/07/2009 08:39;1/15/09 12:14;517.166.667;6.5
1/15/09 12:33;Product1;1200;Visa;Brian;College Park                ;MD;United States;1/15/09 12:19;1/15/09 13:28;3.898.056;-7.693.722
1/14/09 11:35;Product1;1200;Visa;Kenny;Kailua Kona                 ;HI;United States;1/13/09 17:42;1/15/09 15:31;197.349;-1.559.003
1/14/09 15:40;Product1;1200;Amex;ayse;Redondo Beach               ;CA;United States;1/13/09 19:37;1/15/09 15:45;3.384.917;-1.183.875
01/03/2009 11:08;Product1;1200;Amex;Maria and Timothy;Fountain Hls                ;AZ;United States;06/05/2006 22:42;1/15/09 16:37;3.361.167;-11.171.667
01/12/2009 01:37;Product1;1200;Visa;IMAN;Brisbane;Queensland;Australia;01/12/2009 01:26;1/15/09 17:54;#FIELD!;1.530.166.667
1/16/09 7:21;Product1;2100;Mastercard;Gerald;Mahopac                     ;NY;United States;11/03/2008 14:28;1/16/09 6:08;4.137.222;-7.373.389
1/15/09 12:54;Product1;1200;Mastercard;Annelies;Ile-Perrot;Quebec;Canada;1/15/09 12:22;1/16/09 7:53;45.4;-739.333.333
01/07/2009 07:19;Product1;1200;Amex;Jocelyn;Bruxelles;Brussels (Bruxelles);Belgium;6/30/08 9:33;1/16/09 8:54;508.333.333;43.333.333
01/03/2009 09:56;Product1;1200;Visa;Kara;Chicago                     ;IL;United States;12/31/08 16:26;1/16/09 13:43;41.85;#FIELD!
1/16/09 17:41;Product1;1200;Visa;Orsi;Rayford                     ;TX;United States;1/16/09 17:01;1/16/09 17:56;3.007.972;-9.541.694
01/05/2009 05:33;Product1;1200;Visa;Ben;Escondido                   ;CA;United States;01/05/2009 03:19;1/17/09 0:35;3.311.917;-11.708.556
01/02/2009 00:50;Product1;1200;Visa;Sam;Tesvikiye;Istanbul;Turkey;01/02/2009 00:10;1/17/09 1:57;406.166.667;290.666.667
1/13/09 1:51;Product1;1200;Visa;Filip and Teresa;Centurion;Gauteng;South Africa;01/12/2009 01:40;1/17/09 2:23;-258.744.444;281.705.556
1/15/09 10:24;Product1;1200;Visa;Grace ;York;England;United Kingdom;1/13/09 12:30;1/17/09 4:42;539.666.667;-10.833.333
01/11/2009 08:59;Product1;1200;Visa;Chelsey ;Ashburn                     ;VA;United States;11/09/2008 05:53;1/17/09 8:54;3.904.361;-7.748.778
1/15/09 15:56;Product1;1200;Amex;Charis;Los Angeles                 ;CA;United States;11/11/2005 11:49;1/17/09 10:54;3.405.222;-11.824.278
01/01/2009 12:19;Product1;1200;Visa;Marlene;Edgewood                    ;WA;United States;1/16/06 14:45;1/17/09 11:38;4.725.028;-1.222.925
01/06/2009 14:03;Product1;1200;Visa;Fie;New York                    ;NY;United States;05/01/2008 08:26;1/17/09 11:44;4.071.417;-7.400.639
01/09/2009 15:32;Product1;1200;Diners;Nicole ;Basingstoke;England;United Kingdom;01/07/2009 12:31;1/17/09 12:03;512.666.667;-10.833.333
1/17/09 12:59;Product1;1200;Diners;Linda;Den Haag;Zuid-Holland;Netherlands;10/29/08 13:09;1/17/09 13:07;520.833.333;4.3
01/12/2009 12:37;Product1;1200;Visa;Janet;Marietta                    ;GA;United States;9/13/07 14:20;1/17/09 16:17;339.525;#FIELD!
01/04/2009 07:43;Product1;1200;Mastercard;Jamie;Houston                     ;TX;United States;01/04/2009 06:51;1/17/09 17:31;2.976.306;-9.536.306
1/17/09 16:22;Product1;1200;Visa;Chad;West Orange                 ;NJ;United States;1/17/09 15:22;1/17/09 18:42;4.079.861;-7.423.944
01/01/2009 03:51;Product1;1200;Mastercard;sunny;Amsterdam;Noord-Holland;Netherlands;9/14/05 22:53;1/17/09 22:34;52.35;49.166.667
1/18/09 5:27;Product1;1200;Visa;Anna;Downey                      ;CA;United States;1/18/09 4:28;1/18/09 4:42;33.94;-11.813.167
1/18/09 5:15;Product1;1200;Diners;Roger;Urlingford;Kilkenny;Ireland;1/18/09 4:44;1/18/09 4:44;527.205.556;-75.825
01/01/2009 01:51;Product1;1200;Mastercard;Si;Holte;Kobenhavn;Denmark;12/14/05 15:46;1/18/09 4:44;558.166.667;124.666.667
1/18/09 6:30;Product1;1200;Visa;Sherri;Freienbach;Schwyz;Switzerland;6/22/08 14:10;1/18/09 6:21;47.2;8.75
01/11/2009 10:51;Product1;1200;Mastercard;Katherine;Hofheim am Taunus;Hessen;Germany;12/06/2008 01:34;1/18/09 7:17;500.833.333;8.45
01/04/2009 17:02;Product1;1200;Mastercard;Clare;Lafayette                   ;CA;United States;12/31/05 0:55;1/18/09 8:43;3.788.583;-12.211.694
1/17/09 1:23;Product1;1200;Amex;Campbell;Mushrif;;Kuwait;1/16/09 14:26;1/18/09 9:08;292.891.667;48.05
1/18/09 2:16;Product1;1200;Visa;Ruth;Nashville                   ;AR;United States;1/16/09 19:32;1/18/09 9:13;3.394.556;-9.384.694
1/18/09 11:34;Product2;3600;Visa;Cheryl;New Malden;England;United Kingdom;10/28/05 14:57;1/18/09 10:27;514.166.667;#FIELD!
1/18/09 4:38;Product1;1200;Visa;Doug;Bishop Auckland;England;United Kingdom;12/28/07 13:39;1/18/09 11:58;54.65;-16.666.667
1/18/09 13:26;Product3;7500;Mastercard;Julianne;Navan;Meath;Ireland;1/18/09 12:20;1/18/09 12:20;536.527.778;-66.813.889
1/18/09 11:53;Product1;1200;Visa;Shailesh;Joppa;MD;United States;1/18/09 0:00;1/18/09 12:23;3.943.361;-7.635.806
1/18/09 12:04;Product1;1200;Visa;Conrad;Joppa;MD;United States;1/18/09 0:00;1/18/09 12:23;3.943.361;-7.635.806
1/13/09 19:54;Product1;1200;Diners;Alison;Hampton                     ;NJ;United States;01/03/2006 06:09;1/18/09 12:51;4.070.694;-7.495.639
01/05/2009 21:06;Product1;1200;Mastercard;Tracy;Louisville                  ;KY;United States;01/05/2009 16:27;1/18/09 13:58;3.825.417;-8.575.944
1/14/09 6:32;Product1;1200;Visa;Kate;Broadlands                  ;VA;United States;04/12/2006 06:14;1/18/09 14:04;3.904.361;-7.748.778
01/04/2009 23:48;Product1;1200;Diners;Sarka;Yellowknife;Northwest Territories;Canada;01/04/2009 22:41;1/18/09 16:17;62.45;#FIELD!
1/18/09 16:32;Product2;3600;Visa;Therese;Los Angeles                 ;CA;United States;1/18/09 16:23;1/18/09 16:54;3.405.222;-11.824.278
1/18/09 17:04;Product2;3600;Visa;Abdul-L;New York                    ;NY;United States;1/18/09 16:58;1/18/09 16:58;4.071.417;-7.400.639
1/18/09 17:20;Product2;3600;Visa;heidi;Saint Paul                  ;MN;United States;1/18/09 17:16;1/18/09 17:16;4.494.444;-9.309.306
1/18/09 17:39;Product2;3600;Visa;jiyoung;New York                    ;NY;United States;1/18/09 17:34;1/18/09 17:34;4.071.417;-7.400.639
01/11/2009 11:20;Product1;1200;Visa;Klara;Spring Lake Park            ;MN;United States;12/31/08 19:48;1/18/09 17:43;4.510.778;-9.323.778
1/13/09 20:59;Product1;1200;Mastercard;Andrew;Winnipeg;Manitoba;Canada;1/13/09 16:44;1/18/09 19:17;498.833.333;-971.666.667
01/12/2009 16:50;Product1;1200;Visa;Vicki and Bill;Seattle                     ;WA;United States;01/04/2009 21:33;1/19/09 1:22;4.760.639;-12.233.083
01/12/2009 15:12;Product1;1200;Mastercard;David;Deptford                    ;NJ;United States;01/12/2009 14:07;1/19/09 3:47;3.983.806;-7.515.306
01/06/2009 12:27;Product1;1200;Mastercard;Antonella;Amsterdam;Noord-Holland;Netherlands;01/06/2009 12:04;1/19/09 4:59;52.35;49.166.667
01/09/2009 18:52;Product1;1200;Visa;David;Alpharetta                  ;GA;United States;11/25/08 7:56;1/19/09 6:12;3.407.528;-8.429.417
1/18/09 23:17;Product1;1200;Visa;Greg;Washington                  ;DC;United States;1/18/09 15:18;1/19/09 6:13;38.895;-7.703.667
01/07/2009 08:21;Product1;1200;Visa;Jannik ;Holmenkollen;Oslo;Norway;01/03/2009 11:06;1/19/09 6:54;599.666.667;106.666.667
01/03/2009 09:54;Product1;1200;Visa;Sylvia;Zekeriyakoy;Istanbul;Turkey;12/29/08 10:38;1/19/09 7:37;411.980.556;290.302.778
01/05/2009 19:37;Product1;1200;Amex;Bernadette;Washington                  ;DC;United States;11/07/2007 09:49;1/19/09 7:42;38.895;-7.703.667
01/04/2009 12:49;Product1;1200;Diners;Denise;Montreal;Quebec;Canada;5/25/07 10:58;1/19/09 7:58;45.5;-735.833.333
01/08/2009 11:55;Product2;3600;Visa;Caren;Braunschweig;Lower Saxony;Germany;01/03/2009 12:39;1/19/09 8:31;522.666.667;105.333.333
1/14/09 18:21;Product1;1200;Visa;luciana;Athens                      ;GA;United States;9/25/05 6:25;1/19/09 11:21;3.396.083;-8.337.806
01/11/2009 19:01;Product1;1200;Diners;Maja;Hoschton                    ;GA;United States;01/11/2009 18:17;1/19/09 12:47;3.409.639;-8.376.139
1/14/09 5:20;Product2;3600;Visa;Kristen;Binningen;Basel-Country;Switzerland;01/12/2009 13:31;1/19/09 13:07;475.333.333;75.666.667
1/15/09 8:07;Product1;1200;Visa;Kirstie;Royal Oak                   ;MI;United States;12/13/08 19:35;1/19/09 14:59;4.248.944;-8.314.472
1/15/09 8:10;Product1;1200;Visa;Scott ;Royal Oak                   ;MI;United States;12/13/08 19:35;1/19/09 14:59;4.248.944;-8.314.472
01/02/2009 17:45;Product1;1200;Mastercard;Jammie;Belmont                     ;MA;United States;12/09/2005 17:19;1/19/09 15:36;4.239.583;-7.117.917
1/19/09 16:10;Product1;1200;Mastercard;Frank;Old Greenwich               ;CT;United States;1/19/09 15:31;1/19/09 16:00;4.102.278;-7.356.528
1/19/09 16:55;Product1;1200;Mastercard;scott;Coconut Grove               ;FL;United States;1/19/09 16:18;1/19/09 16:18;2.571.222;-8.025.722
01/10/2009 17:41;Product1;1200;Visa;Jiri;Vienna                      ;VA;United States;01/10/2009 16:32;1/19/09 17:52;3.890.111;-7.726.556
